模型ID,public_id,名称,厂商,任务,关联端点,数量控制,比例,比例基线尺寸,分辨率档位,自定义尺寸,输出格式,参考图输入,选项字段,布尔字段,整数字段,数值字段,文本字段,系统提示词,官方必填参数,目录未暴露的官方参数,与官方默认值差异
fal-ai/qwen-image,qwen-image,Alibaba / Qwen Image,alibaba,text-to-image,fal-ai/qwen-image/image-to-image,1~4 张（字段 num_images）,16:9、4:3、9:16、3:4、1:1；默认 4:3,16:9=1280x720；4:3=1024x768；9:16=720x1280；3:4=768x1024；1:1=1024x1024,,字段 image_size,字段 output_format；jpeg、png；默认 png,,acceleration：none/regular/high（默认 regular）,sync_mode；enable_safety_checker（默认 false）,seed；num_inference_steps（2~250）,,negative_prompt,,prompt,guidance_scale(number(0~20，默认2.5))；loras(array(默认[]))；use_turbo(boolean(默认False)),acceleration 本地默认 regular（官方 none）；enable_safety_checker 本地默认 false（官方 true）
fal-ai/qwen-image/image-to-image,qwen-image/edit,Alibaba / Qwen Image Edit,alibaba,image-to-image,fal-ai/qwen-image,1~4 张（字段 num_images）,16:9、4:3、9:16、3:4、1:1；默认 4:3,16:9=1280x720；4:3=1024x768；9:16=720x1280；3:4=768x1024；1:1=1024x1024,,字段 image_size,字段 output_format；jpeg、png；默认 png,字段 image_url（最多 1 张）,acceleration：none/regular/high（默认 regular）,sync_mode；enable_safety_checker（默认 false）,seed；num_inference_steps（2~250）,,negative_prompt,,prompt、image_url,guidance_scale(number(0~20，默认2.5))；loras(array(默认[]))；strength(number(0~1，默认0.6))；use_turbo(boolean(默认False)),acceleration 本地默认 regular（官方 none）；enable_safety_checker 本地默认 false（官方 true）
fal-ai/wan/v2.7/pro/text-to-image,wan-2.7-pro,Alibaba / Wan 2.7 Pro,alibaba,text-to-image,fal-ai/wan/v2.7/pro/edit,1~5 张（字段 num_images）,16:9、4:3、9:16、3:4、1:1；默认 1:1,16:9=1280x720；4:3=1024x768；9:16=720x1280；3:4=768x1024；1:1=1024x1024,,字段 image_size,字段 output_format；jpeg、png、webp；默认 jpeg,,,enable_safety_checker（默认 false）,seed,,negative_prompt,,prompt,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/wan/v2.7/pro/edit,wan-2.7-pro/edit,Alibaba / Wan 2.7 Pro Edit,alibaba,image-to-image,fal-ai/wan/v2.7/pro/text-to-image,1~4 张（字段 num_images）,16:9、4:3、9:16、3:4、1:1；默认 1:1,16:9=1280x720；4:3=1024x768；9:16=720x1280；3:4=768x1024；1:1=1024x1024,,字段 image_size,字段 output_format；jpeg、png、webp；默认 jpeg,字段 image_urls（最多 4 张）,,enable_safety_checker（默认 false）,seed,,negative_prompt,,prompt、image_urls,enable_prompt_expansion(boolean(默认True)),enable_safety_checker 本地默认 false（官方 true）
fal-ai/wan/v2.7/text-to-image,wan-2.7,Alibaba / Wan 2.7,alibaba,text-to-image,fal-ai/wan/v2.7/edit,1~5 张（字段 num_images）,16:9、4:3、9:16、3:4、1:1；默认 1:1,16:9=1280x720；4:3=1024x768；9:16=720x1280；3:4=768x1024；1:1=1024x1024,,字段 image_size,字段 output_format；jpeg、png、webp；默认 jpeg,,,enable_safety_checker（默认 false）,seed,,negative_prompt,,prompt,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/wan/v2.7/edit,wan-2.7/edit,Alibaba / Wan 2.7 Edit,alibaba,image-to-image,fal-ai/wan/v2.7/text-to-image,1~4 张（字段 num_images）,16:9、4:3、9:16、3:4、1:1；默认 1:1,16:9=1280x720；4:3=1024x768；9:16=720x1280；3:4=768x1024；1:1=1024x1024,,字段 image_size,字段 output_format；jpeg、png、webp；默认 jpeg,字段 image_urls（最多 4 张）,,enable_safety_checker（默认 false）,seed,,negative_prompt,,prompt、image_urls,enable_prompt_expansion(boolean(默认True)),enable_safety_checker 本地默认 false（官方 true）
wan/v2.6/text-to-image,wan-2.6,Alibaba / Wan 2.6,alibaba,text-to-image,wan/v2.6/image-to-image,1~5 张（字段 max_images）,16:9、4:3、9:16、3:4、1:1；默认 1:1,16:9=1280x720；4:3=1024x768；9:16=720x1280；3:4=768x1024；1:1=1024x1024,,字段 image_size,,,,enable_safety_checker（默认 false）,seed,,negative_prompt,,prompt,image_url(null|string),enable_safety_checker 本地默认 false（官方 true）
wan/v2.6/image-to-image,wan-2.6/edit,Alibaba / Wan 2.6 Edit,alibaba,image-to-image,wan/v2.6/text-to-image,1~4 张（字段 num_images）,16:9、4:3、9:16、3:4、1:1；默认 1:1,16:9=1280x720；4:3=1024x768；9:16=720x1280；3:4=768x1024；1:1=1024x1024,,字段 image_size,,字段 image_urls（最多 3 张）,,enable_safety_checker（默认 false）；enable_prompt_expansion（默认 true）,seed,,negative_prompt,,prompt、image_urls,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/wan-25-preview/text-to-image,wan-2.5-preview,Alibaba / Wan 2.5 Preview,alibaba,text-to-image,fal-ai/wan-25-preview/image-to-image,1~4 张（字段 num_images）,16:9、4:3、9:16、3:4、1:1；默认 1:1,16:9=1280x720；4:3=1024x768；9:16=720x1280；3:4=768x1024；1:1=1024x1024,,字段 image_size；≤2.0736MP,,,,enable_safety_checker（默认 false）；enable_prompt_expansion（默认 true）,seed,,,,prompt,negative_prompt(null|string),enable_safety_checker 本地默认 false（官方 true）
fal-ai/wan-25-preview/image-to-image,wan-2.5-preview/edit,Alibaba / Wan 2.5 Preview Edit,alibaba,image-to-image,fal-ai/wan-25-preview/text-to-image,1~4 张（字段 num_images）,16:9、4:3、9:16、3:4、1:1；默认 1:1,16:9=1280x720；4:3=1024x768；9:16=720x1280；3:4=768x1024；1:1=1024x1024,,字段 image_size,,字段 image_urls（最多 2 张）,,enable_safety_checker（默认 false）,seed,,negative_prompt,,prompt、image_urls,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/wan/v2.2-a14b/text-to-image,wan-2.2-a14b,Alibaba / Wan 2.2 (A14B),alibaba,text-to-image,fal-ai/wan/v2.2-a14b/image-to-image,1 张（不下发数量字段）,16:9、4:3、9:16、3:4、1:1；默认 1:1,16:9=1280x720；4:3=1024x768；9:16=720x1280；3:4=768x1024；1:1=1024x1024,,字段 image_size,,,,enable_safety_checker（默认 false）；enable_output_safety_checker（默认 false）；enable_prompt_expansion（默认 true）,seed,,negative_prompt,,prompt,acceleration(string(none/regular，默认regular))；guidance_scale(number(1~10，默认3.5))；guidance_scale_2(number(1~10，默认4))；num_inference_steps(integer(2~40，默认27))；shift(number(1~10，默认2)),enable_prompt_expansion 本地默认 true（官方 false）
fal-ai/wan/v2.2-a14b/image-to-image,wan-2.2-a14b/edit,Alibaba / Wan 2.2 (A14B) Edit,alibaba,image-to-image,fal-ai/wan/v2.2-a14b/text-to-image,1 张（不下发数量字段）,字段 aspect_ratio；auto、1:1、16:9、9:16；默认 auto,,,字段 image_size,字段 image_format；jpeg、png；默认 jpeg,字段 image_url（最多 1 张）,,enable_safety_checker（默认 false）；enable_output_safety_checker（默认 false）；enable_prompt_expansion（默认 true）,seed,,negative_prompt,,prompt、image_url,acceleration(string(none/regular，默认regular))；guidance_scale(number(1~10，默认3.5))；guidance_scale_2(number(1~10，默认4))；num_inference_steps(integer(2~40，默认27))；shift(number(1~10，默认2))；strength(number(0~1，默认0.5)),enable_prompt_expansion 本地默认 true（官方 false）
fal-ai/wan/v2.2-5b/text-to-image,wan-2.2-5b,Alibaba / Wan 2.2 (5B),alibaba,text-to-image,,1 张（不下发数量字段）,16:9、4:3、9:16、3:4、1:1；默认 1:1,16:9=1280x720；4:3=1024x768；9:16=720x1280；3:4=768x1024；1:1=1024x1024,,字段 image_size,字段 image_format；jpeg、png；默认 jpeg,,,enable_safety_checker（默认 false）；enable_output_safety_checker（默认 false）；enable_prompt_expansion（默认 true）,seed,,negative_prompt,,prompt,guidance_scale(number(1~10，默认3.5))；num_inference_steps(integer(2~50，默认40))；shift(number(1~10，默认2)),enable_prompt_expansion 本地默认 true（官方 false）
fal-ai/emu-3.5-image/text-to-image,emu-3.5-image,BAAI / Emu 3.5 Image,baai,text-to-image,fal-ai/emu-3.5-image/edit-image,1 张（不下发数量字段）,字段 aspect_ratio；21:9、16:9、4:3、3:2、1:1、2:3、3:4、9:16、9:21；默认 1:1,,字段 resolution；480p、720p；默认 720p,,字段 output_format；jpeg、png、webp；默认 png,,,enable_safety_checker（默认 false）；sync_mode（默认 false）,seed,,,,prompt,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/emu-3.5-image/edit-image,emu-3.5-image-edit,BAAI / Emu 3.5 Image Edit,baai,image-to-image,fal-ai/emu-3.5-image/text-to-image,1 张（不下发数量字段）,字段 aspect_ratio；auto、21:9、16:9、4:3、3:2、1:1、2:3、3:4、9:16、9:21；默认 auto,,字段 resolution；480p、720p；默认 720p,,字段 output_format；jpeg、png、webp；默认 png,字段 image_url（最多 1 张）,,enable_safety_checker（默认 false）；sync_mode（默认 false）,seed,,,,prompt、image_url,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/omnigen-v1,omnigen-v1,BAAI / OmniGen V1,baai,text-to-image,,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 1:1,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png；默认 jpeg,,,sync_mode（默认 false）；enable_safety_checker（默认 false）,seed；num_inference_steps（1~50）,guidance_scale（0~20）；img_guidance_scale（0~20）,,,prompt,input_image_urls(array(默认[])),enable_safety_checker 本地默认 false（官方 true）
fal-ai/omnigen-v2,omnigen-v2,BAAI / OmniGen V2,baai,text-to-image,,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 1:1,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png；默认 jpeg,,scheduler：euler/dpmsolver（默认 euler）,sync_mode（默认 false）；enable_safety_checker（默认 false）,seed；num_inference_steps（20~50）,text_guidance_scale（1~8）；image_guidance_scale（1~3）；cfg_range_start（0~1）；cfg_range_end（0~1）,negative_prompt,,prompt,input_image_urls(array(默认[])),enable_safety_checker 本地默认 false（官方 true）
fal-ai/ernie-image,ernie-image,Baidu / Ernie Image,baidu,text-to-image,,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 1:1,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png；默认 jpeg,,acceleration：none/regular/high（默认 regular）,enable_safety_checker（默认 false）；sync_mode；enable_prompt_expansion（默认 true）,seed；num_inference_steps（1~100）,guidance_scale（1~20）,negative_prompt,,prompt,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/ernie-image/turbo,ernie-image-turbo,Baidu / Ernie Image Turbo,baidu,text-to-image,,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 1:1,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png；默认 jpeg,,acceleration：none/regular/high（默认 regular）,enable_safety_checker（默认 false）；sync_mode；enable_prompt_expansion（默认 true）,seed；num_inference_steps（1~20）,guidance_scale（1~20）,negative_prompt,,prompt,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/flux-1/dev,flux-1-dev,Black Forest Labs / Flux-1 Dev,black-forest-labs,text-to-image,fal-ai/flux-1/dev/image-to-image,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 4:3,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png；默认 jpeg,,acceleration：none/regular/high（默认 none）,enable_safety_checker（默认 false）；sync_mode,seed；num_inference_steps（1~50）,guidance_scale（1~20）,,,prompt,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/flux-1/dev/image-to-image,flux-1-dev-image-to-image,Black Forest Labs / Flux-1 Dev Edit,black-forest-labs,image-to-image,fal-ai/flux-1/dev,1~4 张（字段 num_images）,,,,,字段 output_format；jpeg、png；默认 jpeg,字段 image_url（最多 1 张）,acceleration：none/regular/high（默认 none）,enable_safety_checker（默认 false）；sync_mode,seed；num_inference_steps（10~50）,guidance_scale（1~20）,,,image_url、prompt,strength(number(0.01~1，默认0.95)),enable_safety_checker 本地默认 false（官方 true）
fal-ai/flux-1/krea,flux-1-krea,Black Forest Labs / Flux-1 Krea,black-forest-labs,text-to-image,fal-ai/flux-1/krea/image-to-image,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 4:3,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png；默认 jpeg,,acceleration：none/regular/high（默认 none）,enable_safety_checker（默认 false）；sync_mode,seed；num_inference_steps（1~50）,guidance_scale（1~20）,,,prompt,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/flux-1/krea/image-to-image,flux-1-krea-image-to-image,Black Forest Labs / Flux-1 Krea Edit,black-forest-labs,image-to-image,fal-ai/flux-1/krea,1~4 张（字段 num_images）,,,,,字段 output_format；jpeg、png；默认 jpeg,字段 image_url（最多 1 张）,acceleration：none/regular/high（默认 none）,enable_safety_checker（默认 false）；sync_mode,seed；num_inference_steps（10~50）,guidance_scale（1~20）,,,image_url、prompt,strength(number(0.01~1，默认0.95)),enable_safety_checker 本地默认 false（官方 true）
fal-ai/flux-1/schnell,flux-1-schnell,Black Forest Labs / Flux-1 Schnell,black-forest-labs,text-to-image,,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 4:3,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png；默认 jpeg,,acceleration：none/regular/high（默认 none）,enable_safety_checker（默认 false）；sync_mode,seed；num_inference_steps（1~12）,guidance_scale（1~20）,,,prompt,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/flux-1/srpo,flux-1-srpo,Black Forest Labs / Flux-1 Srpo,black-forest-labs,text-to-image,fal-ai/flux-1/srpo/image-to-image,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 4:3,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png；默认 jpeg,,acceleration：none/regular/high（默认 none）,enable_safety_checker（默认 false）；sync_mode,seed；num_inference_steps（1~50）,guidance_scale（1~20）,,,prompt,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/flux-1/srpo/image-to-image,flux-1-srpo-image-to-image,Black Forest Labs / Flux-1 SRPO Edit,black-forest-labs,image-to-image,fal-ai/flux-1/srpo,1~4 张（字段 num_images）,,,,,字段 output_format；jpeg、png；默认 jpeg,字段 image_url（最多 1 张）,acceleration：none/regular/high（默认 none）,enable_safety_checker（默认 false）；sync_mode,seed；num_inference_steps（10~50）,guidance_scale（1~20）,,,image_url、prompt,strength(number(0.01~1，默认0.95)),enable_safety_checker 本地默认 false（官方 true）
fal-ai/flux-2,flux-2,Black Forest Labs / Flux-2,black-forest-labs,text-to-image,fal-ai/flux-2/edit,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 4:3,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png、webp；默认 png,,acceleration：none/regular/high（默认 regular）,enable_safety_checker（默认 false）；sync_mode；enable_prompt_expansion（默认 true）,seed；num_inference_steps（4~50）,guidance_scale（0~20）,,,prompt,,enable_safety_checker 本地默认 false（官方 true）；enable_prompt_expansion 本地默认 true（官方 false）
fal-ai/flux-2/edit,flux-2-edit,Black Forest Labs / Flux-2 Edit,black-forest-labs,image-to-image,fal-ai/flux-2,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 4:3,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png、webp；默认 png,字段 image_urls（最多 4 张）,acceleration：none/regular/high（默认 regular）,enable_safety_checker（默认 false）；sync_mode；enable_prompt_expansion（默认 true）,seed；num_inference_steps（4~50）,guidance_scale（0~20）,,,prompt、image_urls,,enable_safety_checker 本地默认 false（官方 true）；enable_prompt_expansion 本地默认 true（官方 false）
fal-ai/flux-2/flash,flux-2-flash,Black Forest Labs / Flux-2 Flash,black-forest-labs,text-to-image,fal-ai/flux-2/flash/edit,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 4:3,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png、webp；默认 png,,,enable_safety_checker（默认 false）；sync_mode；enable_prompt_expansion（默认 true）,seed,guidance_scale（0~20）,,,prompt,,enable_safety_checker 本地默认 false（官方 true）；enable_prompt_expansion 本地默认 true（官方 false）
fal-ai/flux-2/flash/edit,flux-2-flash-edit,Black Forest Labs / Flux-2 Flash Edit,black-forest-labs,image-to-image,fal-ai/flux-2/flash,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 4:3,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png、webp；默认 png,字段 image_urls（最多 4 张）,,enable_safety_checker（默认 false）；sync_mode；enable_prompt_expansion（默认 true）,seed,guidance_scale（0~20）,,,prompt、image_urls,,enable_safety_checker 本地默认 false（官方 true）；enable_prompt_expansion 本地默认 true（官方 false）
fal-ai/flux-2-flex,flux-2-flex,Black Forest Labs / Flux-2-Flex,black-forest-labs,text-to-image,fal-ai/flux-2-flex/edit,1 张（不下发数量字段）,1:1、3:4、9:16、4:3、16:9；默认 4:3,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png；默认 jpeg,,safety_tolerance：1/2/3/4/5（默认 5）,enable_safety_checker（默认 false）；sync_mode,seed；num_inference_steps（2~50）,guidance_scale（1.5~10）,,,prompt,,safety_tolerance 本地默认 5（官方 2）；enable_safety_checker 本地默认 false（官方 true）
fal-ai/flux-2-flex/edit,flux-2-flex-edit,Black Forest Labs / Flux-2-Flex Edit,black-forest-labs,image-to-image,fal-ai/flux-2-flex,1 张（不下发数量字段）,1:1、3:4、9:16、4:3、16:9；默认 4:3,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png；默认 jpeg,字段 image_urls（最多 1 张）,safety_tolerance：1/2/3/4/5（默认 5）,enable_safety_checker（默认 false）；sync_mode,seed；num_inference_steps（2~50）,guidance_scale（1.5~10）,,,prompt、image_urls,,safety_tolerance 本地默认 5（官方 2）；enable_safety_checker 本地默认 false（官方 true）
fal-ai/flux-2/klein/4b,flux-2-klein-4b,Black Forest Labs / Flux-2 Klein 4B,black-forest-labs,text-to-image,fal-ai/flux-2/klein/4b/edit,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 4:3,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png、webp；默认 png,,,enable_safety_checker（默认 false）；sync_mode,seed；num_inference_steps（4~8）,,,,prompt,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/flux-2/klein/4b/edit,flux-2-klein-4b-edit,Black Forest Labs / Flux-2 Klein 4B Edit,black-forest-labs,image-to-image,fal-ai/flux-2/klein/4b,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 4:3,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png、webp；默认 png,字段 image_urls（最多 4 张）,,enable_safety_checker（默认 false）；sync_mode,seed；num_inference_steps（4~8）,,,,prompt、image_urls,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/flux-2/klein/4b/base,flux-2-klein-4b-base,Black Forest Labs / Flux-2 Klein 4B Base,black-forest-labs,text-to-image,fal-ai/flux-2/klein/4b/base/edit,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 4:3,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png、webp；默认 png,,acceleration：none/regular/high（默认 regular）,enable_safety_checker（默认 false）；sync_mode,seed；num_inference_steps（4~50）,guidance_scale（0~20）,negative_prompt,,prompt,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/flux-2/klein/4b/base/edit,flux-2-klein-4b-base-edit,Black Forest Labs / Flux-2 Klein 4B Base Edit,black-forest-labs,image-to-image,fal-ai/flux-2/klein/4b/base,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 4:3,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png、webp；默认 png,字段 image_urls（最多 4 张）,acceleration：none/regular/high（默认 regular）,enable_safety_checker（默认 false）；sync_mode,seed；num_inference_steps（4~50）,guidance_scale（0~20）,negative_prompt,,prompt、image_urls,,enable_safety_checker 本地默认 false（官方 true）
